Link	Hyperlink
USS Huntsville (1857)	https://en.wikipedia.org/wiki/USS_Huntsville_(1857)
USS Huron (1861)	https://en.wikipedia.org/wiki/USS_Huron_(1861)
USS Hyacinth (1862)	https://en.wikipedia.org/wiki/USS_Hyacinth_(1862)
USS Hydrangea (1862)	https://en.wikipedia.org/wiki/USS_Hydrangea_(1862)
USS Ibex (1863)	https://en.wikipedia.org/wiki/USS_Ibex_(1863)
USS Ice Boat (1861)	https://en.wikipedia.org/wiki/USS_Ice_Boat_(1861)
USS Ida	https://en.wikipedia.org/wiki/USS_Ida
USS Idaho (1864)	https://en.wikipedia.org/wiki/USS_Idaho_(1864)
USS Indianola	https://en.wikipedia.org/wiki/USS_Indianola
USS Ino	https://en.wikipedia.org/wiki/USS_Ino
USS Iosco	https://en.wikipedia.org/wiki/USS_Iosco
USS Iris (1863)	https://en.wikipedia.org/wiki/USS_Iris_(1863)
USS Iron Age	https://en.wikipedia.org/wiki/USS_Iron_Age
USS Iroquois (1859)	https://en.wikipedia.org/wiki/USS_Iroquois_(1859)
USS Isaac N. Seymour	https://en.wikipedia.org/wiki/USS_Isaac_N._Seymour
USS Isaac Smith	https://en.wikipedia.org/wiki/USS_Isaac_Smith
USS Isilda (1861)	https://en.wikipedia.org/wiki/USS_Isilda_(1861)
USS Island Belle	https://en.wikipedia.org/wiki/USS_Island_Belle
USS Isonomia	https://en.wikipedia.org/wiki/USS_Isonomia
USS Itasca (1861)	https://en.wikipedia.org/wiki/USS_Itasca_(1861)
USS Iuka (1864)	https://en.wikipedia.org/wiki/USS_Iuka_(1864)
USS Ivy (1862)	https://en.wikipedia.org/wiki/USS_Ivy_(1862)
USS J. C. Kuhn	https://en.wikipedia.org/wiki/USS_J._C._Kuhn
USS J. W. Wilder	https://en.wikipedia.org/wiki/USS_J._W._Wilder
USRC Jackson (1832)	https://en.wikipedia.org/wiki/USRC_Jackson_(1832)
USS Jacob Bell (1842)	https://en.wikipedia.org/wiki/USS_Jacob_Bell_(1842)
USS James Adger	https://en.wikipedia.org/wiki/USS_James_Adger
USS James L. Davis	https://en.wikipedia.org/wiki/USS_James_L._Davis
USS James S. Chambers	https://en.wikipedia.org/wiki/USS_James_S._Chambers
USS Jamestown (1844)	https://en.wikipedia.org/wiki/USS_Jamestown_(1844)
USS Jasmine	https://en.wikipedia.org/wiki/USS_Jasmine
USS Jean Sands (1863)	https://en.wikipedia.org/wiki/USS_Jean_Sands_(1863)
USS John Adams (1799)	https://en.wikipedia.org/wiki/USS_John_Adams_(1799)
USS John Griffith	https://en.wikipedia.org/wiki/USS_John_Griffith
USS John L. Lockwood	https://en.wikipedia.org/wiki/USS_John_L._Lockwood
USS John P. Jackson (1860)	https://en.wikipedia.org/wiki/USS_John_P._Jackson_(1860)
USS Jonquil	https://en.wikipedia.org/wiki/USS_Jonquil
USS Judge Torrence	https://en.wikipedia.org/wiki/USS_Judge_Torrence
USS Julia (1863)	https://en.wikipedia.org/wiki/USS_Julia_(1863)
USS Juliet	https://en.wikipedia.org/wiki/USS_Juliet
USS Juniata (1862)	https://en.wikipedia.org/wiki/USS_Juniata_(1862)
USS Juniper	https://en.wikipedia.org/wiki/USS_Juniper
USS Kalmia (1863)	https://en.wikipedia.org/wiki/USS_Kalmia_(1863)
USS Kanawha (1861)	https://en.wikipedia.org/wiki/USS_Kanawha_(1861)
USS Kansas (1863)	https://en.wikipedia.org/wiki/USS_Kansas_(1863)
USS Katahdin (1861)	https://en.wikipedia.org/wiki/USS_Katahdin_(1861)
USS Kate (1864)	https://en.wikipedia.org/wiki/USS_Kate_(1864)
USS Kearsarge (1861)	https://en.wikipedia.org/wiki/USS_Kearsarge_(1861)
USS Kennebec (1861)	https://en.wikipedia.org/wiki/USS_Kennebec_(1861)
USS Kensington (1861)	https://en.wikipedia.org/wiki/USS_Kensington_(1861)
USS Kensington (1862)	https://en.wikipedia.org/wiki/USS_Kensington_(1862)
USS Kenwood (1863)	https://en.wikipedia.org/wiki/USS_Kenwood_(1863)
USS Key West (1862)	https://en.wikipedia.org/wiki/USS_Key_West_(1862)
USS Keystone State (1853)	https://en.wikipedia.org/wiki/USS_Keystone_State_(1853)
USS Kickapoo (1864)	https://en.wikipedia.org/wiki/USS_Kickapoo_(1864)
USS Kineo (1861)	https://en.wikipedia.org/wiki/USS_Kineo_(1861)
USS King Philip	https://en.wikipedia.org/wiki/USS_King_Philip
USS Kingfisher (1861)	https://en.wikipedia.org/wiki/USS_Kingfisher_(1861)
USS Kinsman (1854)	https://en.wikipedia.org/wiki/USS_Kinsman_(1854)
USS Kittatinny	https://en.wikipedia.org/wiki/USS_Kittatinny
L. C. Richmond	https://en.wikipedia.org/wiki/L._C._Richmond
